Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Міщенко,Василь,Симонович,Чоловіча,02-10-1993,Геолог,місто Селидове,"вулиця Кришталева, буд. 0 кв. 2, Фастів, 32506",+380 20 063-30-25,feofan29@example.org
Батуринець,Йосип,Орестович,Чоловіча,18-01-1973,Фізик,селище Дніпро ,"шосе Академіка Філатова, буд. 5 кв. 73, Рівне, 75409",094 450-76-59,priska49@example.org
Гоголь,Ігнат,Богуславович,Чоловіча,21-05-2006,Акушер,місто Радивилів,"площа Лунний, буд. 0 кв. 66, Скадовськ, 94103",+380 45 395-86-60,zkarpa@example.com
Царенко,Назар,Русланович,Чоловіча,20-09-1956,Електротехнік,місто Носівка,"набережна 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 813, Буринь, 51307",+380 48 270 42 75,onosachenko@example.net
Оліфіренко,Веніямин,Едуардович,Чоловіча,27-08-1947,Акушер,селище Генічеськ,"набережна Селищний, буд. 265 кв. 91, Дунаївці, 70043",718 61 30,vasylechkobohdanna@example.net
Зарудна,Онисим,Геннадійович,Чоловіча,04-08-1976,Краєзнавець,місто Гайворон,"вулиця Наявний 1-й, буд. 76, Світловодськ, 58272",061 111-37-00,dmytrohavryshkevych@example.org
Бабариченко,Пилип,Хомович,Чоловіча,15-07-1952,Електромонтажник,хутір Болехів,"узвіз Володимира Вінниченка, буд. 498 кв. 63, Радехів, 83552",543 34 60,vasylyna66@example.net
Франчук,Венедикт,Орхипович,Чоловіча,30-01-1949,Біолог,хутір Гуляйполе,"узвіз Тиха, буд. 9, Ірпінь, 78362",028 038 05 79,hvashchenko-zakharchenko@example.com
Калениченко,Богуслав,Симонович,Чоловіча,11-12-1982,Астрофізик,селище Іловайськ,"площа Вітчизняна, буд. 98 кв. 376, Зимогір'я, 63312",+380 21 755-12-83,aleksiuksemen@example.org
Шелест,Трохим,Володимирович,Чоловіча,02-04-1992,Електромонтажник,місто Немирів,"набережна Вапняний 2-й, буд. 02 кв. 2, Жовква, 98483",+380 76 694-45-85,shchorsiosyp@example.org
Малик,Орхип,Семенович,Чоловіча,06-04-1965,Музичний редактор,хутір Тернопіль,"вулиця Гілельса, буд. 601, Тараща, 23914",864 47 47,sychmykyta@example.com
Франчук,Марко,Пантелеймонович,Чоловіча,01-09-1956,Випробувач,село Березівка,"площа Тираспольська, буд. 233 кв. 9, Першотравенськ, 17326",734 28 50,dzhundanna@example.net
Бабак,Максим,Веніяминович,Чоловіча,04-04-2006,Бухгалтер,хутір Корець,"вулиця Мазепи Івана, буд. 7, Горлівка, 69847",+380 04 952-41-24,akovpak@example.com
Артюшенко,Михайло,Кирилович,Чоловіча,16-10-2006,Євнух,селище Олександрія,"узвіз Керченська, буд. 316, Бучач, 46826",001 479 61 67,ielysaveta43@example.org
Дзюба,Святослав,Станіславович,Чоловіча,06-08-1962,Каскадер,хутір Овруч,"узвіз Гена Іоганна, буд. 837, Бердичів, 66445",+380 75 396-54-91,bakumenkoaaron@example.org
Сіробаба,Вадим,Едуардович,Чоловіча,10-07-1948,Реабілітолог,місто Решетилівка,"сквер Аеродромний 3-й, буд. 62, Федорівка, 53163",660-11-83,shelestopanas@example.org
Адамчук,Михайло,Гордійович,Чоловіча,01-06-1976,Петрограф,місто Горохів,"провулок Люстдорфська дорога, буд. 3 кв. 213, Гуляйполе, 35375",003 657 16 85,zakusyloiaroslav@example.org
Гайдай,Захар,Костянтинович,Чоловіча,16-09-1986,Підприємець,село Ромни,"шосе Сєченова, буд. 892 кв. 8, Дрогобич, 33343",+380 (51) 563-77-33,zynoviiudovenko@example.org
Тягнибок,Панас,Федорович,Чоловіча,08-07-1949,Промисловець,хутір Яготин,"набережна Шкіперська, буд. 11 кв. 73, Щастя , 58006",722 09 35,artymyshynmilena@example.org
Семенченко,Федір,Болеславович,Чоловіча,25-10-2002,Бібліотекар,селище Стрий,"парк Олександра Невського, буд. 890, Малин, 43272",766-02-14,iurchenkoheorhii@example.com
Бакуменко,Георгій,Святославович,Чоловіча,13-12-1948,Детектив,місто Вільногірськ,"провулок Степана Разіна, буд. 948 кв. 32, Дубляни, 19245",+380 41 288-45-21,ostap53@example.net
Зінченко,Нестор,Макарович,Чоловіча,21-10-1994,Підприємець,селище Роздільна,"набережна Макаренка, буд. 187, Сєвєродонецьк, 96417",+380 94 641 54 25,panteleimon29@example.net
Заєць,Максим,Олексович,Чоловіча,03-05-1977,Кур'єр,село Алушта,"вулиця Фестивальний, буд. 9 кв. 2, Кипуче, 01466",088 749 11 70,vlokhdemyd@example.com
Швачка,Прохір,Ростиславович,Чоловіча,07-09-1995,Круп'є,селище Зміїв,"вулиця Незалежності, буд. 57 кв. 6, Чоп, 49370",087 297 65 56,myron67@example.org
Мазепа,Борис,Зиновійович,Чоловіча,13-02-1956,Журналіст,селище Хоростків,"набережна Новиков міст, буд. 796 кв. 242, Вільногірськ, 53094",830 93 12,aleksiuksymon@example.net
Рудик,Давид,Арсенович,Чоловіча,16-06-1945,Електромонтер,місто Монастириська,"проспект Парковий, буд. 14 кв. 79, Червоносів, 48886",090 335 87 47,skorobohatkomariia@example.com
Михайличенко,Федір,Кирилович,Чоловіча,26-06-1952,Слідчий,місто Кипуче,"набережна Далекосхідна, буд. 862 кв. 13, Жданівка, 07640",617-10-88,azar93@example.com
Пʼятаченко,Богодар,Валентинович,Чоловіча,09-01-1979,Композитор,місто Южноукраїнськ,"проспект Чорноморський 10-й, буд. 3, Андрушівка, 86288",+380 54 574-03-56,bohuslava12@example.com
Вишняк,Станіслав,Олесьович,Чоловіча,14-02-1942,Етнограф,селище Бердичів,"шосе Посівна, буд. 01 кв. 89, Кам'янка-Бузька, 10345",081 188-85-83,havrylosuprunenko@example.org
Рубець,Віктор,Аркадійович,Чоловіча,21-04-1976,Петрограф,хутір Борислав,"набережна Східчастий 3-й, буд. 448, Овруч, 42922",+380 19 208-69-56,petroartemenko@example.com
Мамчур,Франц,Ааронович,Чоловіча,08-04-2003,Правник,село Сватове,"провулок Юннатів 2-й, буд. 01, Канів, 11782",093 145 53 06,isyrotenko@example.com
Гайденко,Давид,Яремович,Чоловіча,19-02-1947,Стиліст,місто Лисичанськ,"парк Івана Вазова, буд. 66, Новоград-Волинський, 79286",025 699 62 79,bohdandubas@example.org
Юрчук,Назар,Павлович,Чоловіча,05-03-2004,Петрограф,село Нікополь,"парк Людмили Гінзбург, буд. 571, Носівка, 07793",733 45 36,opanas75@example.com
Прокопович,Геннадій,Богодарович,Чоловіча,26-05-1974,Нотаріус,село Хуст,"парк Сонячна, буд. 453 кв. 83, Географія Вільнянська, 88141",059 015-41-50,khunko@example.net
Юрченко,Аркадій,Несторович,Чоловіча,05-12-2000,Реставратор,місто Вугледар,"парк Лінія 24-та, буд. 10 кв. 9, Нікополь, 78216",697 37 07,kyrylo90@example.org
Баклан,Йосип,Ярославович,Чоловіча,15-02-1992,Мірошник,селище Хрустальний,"шосе Павлодарська, буд. 1 кв. 7, Фастів, 32476",+380 56 861-99-83,zinchenkovadym@example.org
Палій,Олександр,Варфоломійович,Чоловіча,13-11-1989,Бібліограф,місто Горохів,"площа Бітумна, буд. 6, Покровськ, 41194",+380 29 845-63-81,iakymchuktereza@example.net
